1,40,12,2022-02-19,Zakończony,3
2,54,11,2023-05-14,Zakończony,3
3,38,3,2023-07-11,Aktywny,
4,27,19,2022-11-09,Zakończony,5
5,13,15,2023-01-12,Anulowany,
6,100,1,2023-10-01,Zakończony,4
7,19,18,2022-05-19,Anulowany,
8,135,9,2022-12-08,Anulowany,
9,33,7,2023-09-19,Anulowany,
10,195,9,2024-06-17,Anulowany,
11,26,1,2022-09-08,Aktywny,
12,138,20,2021-12-30,Zakończony,3
13,89,10,2022-04-09,Zakończony,4
14,33,12,2022-03-25,Zakończony,5
15,109,7,2024-02-17,Aktywny,
16,16,12,2023-01-06,Anulowany,
17,91,7,2023-05-26,Anulowany,
18,159,19,2023-03-20,Anulowany,
19,46,9,2024-08-31,Anulowany,
20,194,7,2022-02-16,Anulowany,
21,176,2,2022-06-19,Zakończony,5
22,17,2,2022-02-23,Zakończony,1
23,166,12,2022-12-16,Aktywny,
24,34,15,2024-11-13,Aktywny,
25,56,16,2022-07-11,Zakończony,5
26,113,1,2023-08-02,Anulowany,
27,114,12,2024-06-26,Zakończony,2
28,151,11,2024-09-21,Anulowany,
29,130,8,2024-10-09,Anulowany,
30,82,3,2024-02-22,Zakończony,3
31,33,2,2022-09-30,Zakończony,2
32,136,3,2022-02-14,Zakończony,4
33,177,11,2023-05-13,Anulowany,
34,56,14,2022-02-13,Zakończony,5
35,94,19,2023-01-03,Aktywny,
36,119,12,2024-03-20,Anulowany,
37,64,14,2022-10-02,Aktywny,
38,179,1,2022-11-17,Zakończony,4
39,192,5,2024-04-22,Aktywny,
40,190,14,2023-10-16,Zakończony,5
41,129,12,2022-04-17,Zakończony,3
42,153,7,2023-07-30,Anulowany,
43,178,4,2023-06-15,Aktywny,
44,133,2,2023-04-22,Aktywny,
45,94,5,2023-12-26,Zakończony,2
46,99,19,2023-10-03,Aktywny,
47,75,15,2021-12-23,Zakończony,5
48,118,14,2022-12-06,Anulowany,
49,97,2,2023-07-09,Aktywny,
50,182,9,2022-12-01,Anulowany,
51,184,16,2023-02-23,Anulowany,
52,67,3,2024-03-08,Anulowany,
53,121,15,2024-04-04,Anulowany,
54,171,10,2023-02-03,Anulowany,
55,165,6,2023-08-04,Zakończony,5
56,1,19,2024-03-06,Aktywny,
57,94,17,2023-11-25,Anulowany,
58,120,2,2023-05-29,Zakończony,4
59,146,13,2022-12-01,Aktywny,
