1,16,16,2024-02-28,22:18:12,19:37:53,73,36
2,9,13,2024-07-30,20:13:02,11:52:53,97,1
3,17,22,2023-06-24,01:51:56,01:36:50,96,31
4,3,27,2023-01-04,02:09:01,05:34:55,6,156
5,13,17,2023-01-23,15:56:38,13:21:43,112,80
6,18,5,2023-01-20,14:07:24,20:55:01,118,118
7,3,9,2021-12-22,09:17:41,23:55:12,131,69
8,19,5,2024-01-15,17:36:55,16:43:34,60,96
9,13,11,2024-09-30,20:58:16,01:09:49,148,187
10,3,29,2022-11-03,13:38:00,13:06:54,23,79
11,14,26,2022-10-14,12:29:57,13:51:16,172,167
12,7,13,2023-06-06,19:11:03,14:00:21,30,125
13,14,29,2023-11-22,21:42:23,00:43:20,145,120
14,6,9,2023-07-16,01:51:03,09:04:58,108,155
15,12,9,2023-05-06,05:48:40,03:23:38,69,104
16,15,19,2024-02-09,08:49:29,20:06:14,14,3
17,17,25,2023-02-27,04:26:42,00:41:02,33,38
18,14,27,2024-03-09,09:03:42,01:11:53,161,65
19,12,18,2023-03-15,04:12:49,23:41:59,28,198
20,7,19,2023-03-13,03:40:39,01:16:29,192,113
21,20,30,2024-02-02,10:07:16,20:56:21,51,95
22,9,26,2023-12-05,13:39:22,23:33:47,138,101
23,3,25,2023-05-17,05:46:48,05:26:13,42,199
24,5,1,2024-01-15,11:50:07,09:28:26,93,23
25,2,1,2023-12-31,16:32:40,22:21:46,10,144
26,9,11,2023-08-03,19:16:05,14:59:58,143,53
27,12,24,2022-12-24,19:50:21,10:21:13,104,154
28,11,30,2024-01-04,14:33:59,20:40:56,129,198
29,13,5,2024-07-02,19:01:54,21:36:21,17,130
30,11,9,2023-08-18,19:13:11,01:11:54,200,85
31,9,18,2022-08-04,23:28:42,20:40:23,200,4
32,18,5,2022-05-04,03:10:43,08:23:27,57,103
33,15,4,2022-12-13,19:47:24,03:43:48,48,19
34,5,9,2024-11-03,20:10:16,10:43:03,164,45
35,4,4,2022-02-10,00:45:38,23:14:18,63,170
36,19,18,2022-09-05,17:56:43,13:18:42,70,101
37,12,2,2022-11-01,20:11:19,10:08:50,98,35
38,14,21,2024-04-02,16:11:16,13:12:24,153,130
39,18,5,2024-10-28,14:55:33,01:58:51,152,59
40,14,9,2021-12-21,01:08:31,05:03:58,155,196
41,16,26,2024-09-04,09:34:38,23:40:26,130,84
42,15,11,2024-07-07,09:25:33,01:10:13,43,153
43,20,5,2022-11-08,10:04:49,02:54:06,96,134
44,12,5,2022-02-08,00:02:09,08:08:20,90,200
45,19,10,2023-11-02,18:22:32,17:24:45,19,118
46,12,18,2024-07-23,08:22:56,11:31:30,174,113
47,19,4,2022-01-17,03:30:06,09:44:40,101,190
48,17,2,2022-12-01,19:04:23,15:18:28,138,100
49,17,14,2022-10-25,14:08:38,19:38:24,175,105
50,5,6,2023-11-26,12:08:57,07:52:35,173,173
51,5,21,2023-11-12,02:52:17,08:27:47,14,62
52,17,8,2024-03-17,13:46:23,05:18:31,63,166
53,11,23,2024-03-28,19:54:26,07:22:34,99,163
54,14,8,2023-11-02,02:40:55,04:39:36,16,13
55,1,28,2023-11-27,03:25:46,06:53:33,74,21
56,2,30,2022-06-13,23:02:26,21:02:18,164,139
57,12,14,2024-08-22,03:21:56,10:31:08,8,58
58,13,30,2024-01-23,21:41:36,13:04:15,58,117
59,7,6,2022-04-22,22:10:13,20:30:45,77,104
60,8,6,2023-05-19,00:49:02,15:22:29,17,82
61,8,6,2023-03-20,07:17:49,04:34:39,144,5
62,12,9,2024-11-07,16:16:21,20:51:05,36,147
63,19,3,2023-06-22,22:48:38,21:36:04,60,138
64,14,16,2022-08-31,12:56:43,01:16:58,13,96
65,11,7,2024-04-16,07:00:44,11:25:07,62,175
66,15,14,2023-06-05,14:07:28,11:32:32,92,182
67,6,5,2023-05-18,09:20:41,21:07:12,34,157
68,9,26,2022-07-01,19:01:11,17:13:15,178,112
69,11,17,2023-12-23,02:56:01,21:06:47,169,127
70,10,15,2022-01-28,18:28:36,17:18:49,91,122
71,18,19,2022-03-21,02:45:04,03:33:26,112,98
72,18,20,2024-09-18,01:19:12,10:18:16,194,103
73,16,19,2024-06-05,10:27:43,18:26:58,133,171
74,16,28,2022-06-30,04:27:26,06:10:42,109,190
75,12,17,2023-02-23,00:10:42,19:42:17,110,7
76,13,16,2024-03-26,03:59:23,07:25:03,53,108
77,1,26,2022-05-19,00:15:04,10:29:27,16,196
78,14,3,2023-03-02,03:13:33,23:02:39,56,48
79,7,14,2024-02-13,09:16:33,19:27:15,153,98
80,15,20,2022-12-19,00:30:38,12:14:39,22,121
81,12,14,2022-07-12,00:34:18,03:49:59,182,100
82,4,21,2024-09-13,17:15:58,06:09:39,46,97
83,8,29,2024-06-29,17:02:54,17:37:17,57,97
84,16,30,2023-12-05,14:57:17,18:04:11,173,108
85,14,12,2023-05-19,00:27:49,23:17:50,47,93
86,3,20,2023-01-01,05:16:40,19:51:53,110,63
87,5,13,2023-01-29,16:59:06,21:48:18,23,101
88,4,21,2024-11-28,09:33:44,18:50:50,142,65
89,19,24,2023-03-17,20:08:36,19:01:03,153,30
90,17,1,2024-11-22,08:22:18,17:45:01,4,97
91,18,16,2024-12-09,13:08:54,07:21:26,25,151
92,20,7,2024-10-24,23:15:52,08:43:19,84,116
93,5,27,2024-02-06,16:23:48,21:05:04,182,176
94,19,22,2024-09-02,08:29:56,11:27:55,86,161
95,12,8,2022-11-26,14:57:42,14:39:32,77,27
96,7,20,2022-04-18,01:03:11,04:09:36,25,186
97,12,1,2023-11-01,18:18:24,15:36:44,17,119
98,17,24,2023-07-30,09:45:52,12:06:53,125,109
99,12,6,2022-07-28,03:22:09,00:59:38,92,12
100,8,3,2023-09-30,11:31:42,02:14:38,158,195
101,6,11,2022-07-30,20:02:44,23:05:02,106,171
102,8,6,2024-08-16,10:15:34,01:41:02,93,176
103,20,29,2024-02-12,08:02:33,12:42:02,10,109
104,3,6,2022-04-03,00:13:45,18:16:12,138,34
105,8,24,2022-01-19,11:06:45,10:21:02,154,108
106,18,28,2023-09-28,12:02:40,00:39:31,47,129
107,17,9,2023-03-12,07:23:29,01:37:31,182,65
108,7,27,2023-11-06,12:03:24,04:56:14,14,120
109,4,23,2024-01-03,15:26:48,13:39:01,167,127
110,6,8,2023-12-25,20:11:31,19:38:15,196,169
111,6,8,2023-04-25,02:23:24,16:08:56,197,113
112,12,25,2023-09-30,07:06:15,21:11:39,74,13
113,7,30,2024-01-27,06:29:43,04:29:49,106,191
114,19,14,2022-02-02,22:03:20,23:57:33,46,142
115,3,18,2024-03-02,01:06:53,06:31:45,18,92
116,6,18,2023-02-23,21:42:04,08:39:20,6,122
117,9,4,2023-09-15,13:59:41,02:19:38,26,64
118,8,22,2023-09-19,18:46:26,04:36:29,77,127
119,10,9,2022-07-11,15:53:32,20:13:50,13,90
120,16,14,2024-06-05,19:50:41,02:37:36,94,160
121,16,26,2022-06-19,23:12:32,23:01:42,42,111
