1,Aperiam dolore quaerat.,"Ad repellat quos neque magnam. Laboriosam qui labore molestias praesentium dolorem possimus. A nulla cumque tenetur.
Officia corporis recusandae voluptatum natus minus. Enim quaerat non est.",Diagnostyczny,12,1387,2022-06-03,2022-06-27,1,5
2,Sit quia vel quas.,Corporis quos nemo officiis soluta laborum. Ab iusto incidunt laborum aliquid sunt deleniti. Dicta recusandae quam delectus.,Roczny,18,3258,2024-09-08,2024-12-15,0,13
3,Harum aliquam mollitia.,"Eius quisquam nesciunt voluptatum.
Facere labore iure voluptatibus deleniti quo. Atque qui adipisci libero magnam.
Voluptatibus dolore magni minima unde. Delectus quae quasi nisi.",Diagnostyczny,32,2538,2023-12-20,2024-01-08,0,16
4,Est est aut odit nesciunt.,Excepturi esse excepturi totam alias nesciunt laboriosam. Expedita tenetur minus cupiditate.,Semestralny,23,3208,2022-12-31,2023-06-09,0,20
5,Eveniet neque quas.,"Voluptatum dicta blanditiis corporis illum.
Nam doloribus asperiores earum fugit animi at. Voluptas ipsum harum soluta maxime. Sint possimus vitae reiciendis.",Inne,42,6246,2021-12-23,2024-05-05,0,27
6,Ut voluptatum natus ea.,"Ipsam quos quas. Quasi nostrum ipsa suscipit itaque commodi. Non neque amet quisquam.
Eos nobis corrupti et. At ex quasi ratione vitae accusamus ullam.",Diagnostyczny,49,6890,2022-02-12,2022-07-26,0,28
7,Cumque ut vel rerum qui.,Nobis repellendus excepturi qui deserunt corporis in. Numquam blanditiis illo libero porro.,Roczny,27,1850,2022-05-17,2024-01-01,1,19
8,Nisi dolorem ipsa non.,"Delectus quo fugiat quam velit ullam perferendis. Amet saepe ipsam est error dolorem ipsam.
Nulla voluptas odit quis dolor nesciunt corporis. Ratione dicta fugit doloremque vero deleniti voluptatum.",Inne,27,3787,2023-02-18,2024-06-06,1,22
9,In ipsam pariatur quam id.,"Delectus corporis esse dolorum eos veritatis. Architecto rem laudantium doloremque.
Animi tempore incidunt quae cum esse.
Laborum dolores doloribus itaque. Molestias eaque dolores culpa quos eius.",Semestralny,8,1561,2024-12-08,2024-12-10,1,20
10,Doloribus dolorum rem dolor.,"Nobis laudantium iure. Provident nihil pariatur. Possimus repellat quo soluta.
Veritatis enim ducimus odit voluptate. Repudiandae animi minima soluta quam quos.",Zajęcia dodatkowe,50,4094,2022-01-12,2023-11-18,1,30
