1,40,14,2021-11-08,Anulowany,1
2,40,74,2022-07-26,Aktywny,3
3,5,5,2024-05-16,Zakończony,5
4,58,44,2024-07-28,Aktywny,2
5,63,26,2024-02-15,Aktywny,3
6,46,81,2023-05-14,Zakończony,2
7,83,57,2023-11-04,Aktywny,2
8,58,12,2024-09-30,Zakończony,3
9,31,92,2022-11-23,Aktywny,2
10,10,50,2023-08-02,Anulowany,3
11,66,20,2024-07-12,Zakończony,4
12,95,94,2023-02-18,Aktywny,4
13,4,81,2023-12-13,Anulowany,4
14,100,21,2022-05-27,Anulowany,5
15,52,29,2023-12-14,Zakończony,5
16,88,76,2023-03-21,Aktywny,1
17,7,99,2021-10-31,Aktywny,5
18,95,73,2022-08-18,Anulowany,5
19,2,71,2021-11-27,Anulowany,2
20,64,38,2024-06-02,Aktywny,1
21,51,13,2022-10-29,Aktywny,4
22,70,4,2024-04-03,Aktywny,2
23,18,9,2022-08-17,Anulowany,3
24,20,17,2023-06-17,Anulowany,2
25,70,53,2021-11-03,Zakończony,3
26,1,92,2021-12-06,Zakończony,5
27,72,41,2023-12-09,Aktywny,4
28,78,58,2023-12-05,Aktywny,5
29,18,96,2024-09-20,Aktywny,1
30,49,20,2022-08-09,Aktywny,3
31,16,13,2022-04-12,Zakończony,2
32,41,14,2023-01-22,Aktywny,5
33,75,38,2024-05-20,Aktywny,3
34,96,53,2022-04-10,Zakończony,5
35,87,71,2022-05-12,Aktywny,3
36,29,80,2024-02-29,Aktywny,4
37,84,88,2022-02-12,Anulowany,3
38,95,81,2022-02-25,Zakończony,4
39,9,86,2023-12-21,Anulowany,3
40,75,59,2022-11-06,Aktywny,2
41,97,99,2024-03-14,Anulowany,1
42,48,39,2022-04-17,Aktywny,2
43,26,41,2023-07-19,Anulowany,5
44,19,64,2024-04-11,Anulowany,2
45,23,97,2024-03-31,Zakończony,3
46,80,69,2023-10-08,Aktywny,2
47,84,87,2023-04-18,Zakończony,2
48,60,86,2023-06-06,Zakończony,1
49,2,38,2022-07-15,Anulowany,4
50,57,84,2022-07-18,Zakończony,5
51,83,88,2024-07-29,Anulowany,3
52,62,60,2022-03-08,Aktywny,2
53,37,63,2023-01-31,Aktywny,2
54,34,8,2022-08-22,Aktywny,5
55,11,55,2024-02-15,Aktywny,2
56,92,84,2021-10-29,Anulowany,2
57,32,13,2023-01-30,Zakończony,2
58,26,95,2022-12-24,Aktywny,3
59,67,5,2023-10-01,Anulowany,3
60,4,43,2022-10-11,Aktywny,3
61,33,12,2023-01-28,Zakończony,3
