194,1,2024-06-01,3,5,,Zbyt ogólny,tak,"Reprehenderit atque voluptatibus incidunt sequi. Impedit optio ea dicta magni.
Maiores nihil voluptate. Cum incidunt ipsum corrupti."
117,7,2023-06-03,3,2,Bardzo pomocny,Zbyt długi,tak,"Praesentium quas nisi quibusdam tempora. Expedita nihil accusamus debitis expedita amet.
Illum dolorum voluptatibus beatae. Occaecati ipsum velit eveniet nostrum voluptates dolorem."
9,73,2023-11-15,2,5,Profesjonalny prowadzący,Brak interakcji,tak,"Esse enim magni ducimus corrupti.
Ipsa facilis laboriosam soluta rerum autem quo. Illo dolore vel sint perspiciatis necessitatibus. A atque debitis facere repudiandae omnis facere."
21,48,2024-01-02,4,5,,Niejasne wyjaśnienia,nie wiem,"Ea consectetur laborum. Iure saepe odit vel. Quos dolor sed in.
Nisi atque odio neque explicabo quo placeat. Nostrum dolore perferendis laboriosam suscipit quas hic."
17,47,2023-05-23,3,3,Świetnie zorganizowany,Zbyt długi,nie wiem,"Provident adipisci laboriosam vero.
Tempora impedit voluptates placeat incidunt. Deserunt provident molestias voluptate. Unde ipsa esse consectetur magnam minima distinctio suscipit."
1,67,2023-08-25,2,2,Inspirujący,Zbyt długi,tak,Quod tempore placeat ipsa numquam. Quidem adipisci vitae provident blanditiis adipisci eligendi. Quos expedita autem omnis et unde nemo. Error perferendis minus repudiandae officiis impedit.
42,37,2023-07-16,2,3,Inspirujący,,nie,"Nulla unde assumenda quis possimus cum quaerat. Repellendus atque quaerat illo quisquam.
Eum eaque quae minima. Excepturi neque maiores excepturi nihil. Illo ex cumque atque tenetur exercitationem."
87,20,2024-02-18,2,3,Dobrze przekazana wiedza,Zbyt długi,tak,Assumenda perferendis quos pariatur. Perspiciatis ex odio cumque nisi molestiae distinctio.
81,25,2023-12-09,4,5,Bardzo pomocny,Zbyt ogólny,nie,Vero deleniti omnis ratione harum at voluptatum. At dolorem fuga suscipit qui doloribus placeat. A ea voluptate tenetur perspiciatis veritatis. Aut dolorem dolor voluptatibus repudiandae cum.
42,53,2023-01-15,4,1,Inspirujący,Nieprzydatny materiał,nie,"Nostrum numquam ullam delectus minus rem quae accusamus. Deserunt adipisci iste doloribus totam repellat commodi. Asperiores atque quia quas ea.
In beatae eaque dolore quae numquam."
7,47,2023-01-18,5,1,Bardzo pomocny,Zbyt długi,tak,Officiis adipisci alias quos quasi officia officia. Doloremque atque laboriosam eos. Reprehenderit consequuntur non quam vero. Iusto pariatur magnam qui laudantium ex.
30,81,2024-05-03,5,1,Świetnie zorganizowany,Brak interakcji,nie wiem,"In nulla totam laudantium quas numquam. Numquam enim explicabo ex.
Corrupti ea aliquid reiciendis impedit. Eveniet ut nulla sunt.
Nobis et quam ipsam fugiat. Optio labore amet doloribus rerum."
99,18,2023-01-10,5,1,Świetnie zorganizowany,Niejasne wyjaśnienia,nie,Debitis libero sed corrupti sit quis. Laborum id ex perspiciatis. Praesentium inventore similique quas cum.
1,26,2023-04-29,2,3,Dobrze przekazana wiedza,Mało praktycznych przykładów,nie wiem,Temporibus harum autem perferendis. Sequi suscipit expedita ratione hic. Molestiae odit at corporis.
62,90,2024-03-05,1,5,Dobrze przekazana wiedza,Brak interakcji,nie wiem,Recusandae similique tempore. Ut iste facere occaecati labore.
35,35,2023-09-03,2,4,Dobrze przekazana wiedza,Zbyt długi,tak,Dolore possimus nihil commodi officiis totam rerum. Tenetur tenetur accusantium doloribus libero quidem et.
63,67,2024-09-09,5,4,Dobrze przekazana wiedza,Zbyt ogólny,nie wiem,"Commodi quos facere hic sequi quae laboriosam. Id praesentium ad unde possimus enim.
Numquam excepturi sed quis atque. Ipsam incidunt ipsa sapiente minus sequi."
1,81,2024-02-11,1,3,Dobrze przekazana wiedza,,nie wiem,"Magni iusto cumque quibusdam aut esse. Tempora possimus quam exercitationem veniam at.
Totam quo dolor labore natus saepe quisquam. Accusantium unde tempore odio minus eos ratione modi."
55,100,2023-12-01,2,1,Praktyczne przykłady,Brak interakcji,nie,"Consequuntur veniam dolorem labore unde saepe corporis. Occaecati adipisci ipsam.
Maxime maiores nostrum voluptatibus laboriosam. A illum impedit."
4,35,2023-05-03,2,1,Bardzo pomocny,Niejasne wyjaśnienia,nie,"Voluptatem voluptatibus quia deleniti.
Reprehenderit hic reiciendis facilis. Ratione iure error cupiditate suscipit. Tempore temporibus facere explicabo a ea fugit earum. Saepe harum minima expedita."
24,5,2024-03-09,4,3,Profesjonalny prowadzący,Mało praktycznych przykładów,nie wiem,"Odio sapiente quaerat voluptatem. Deleniti quasi incidunt porro labore sapiente unde. Libero repudiandae molestiae est modi quam est.
At sint aut odio. Eveniet soluta praesentium."
19,64,2024-05-04,3,4,Wartościowy materiał,Niejasne wyjaśnienia,tak,Magni a est modi quos illum itaque. Animi rem eum reprehenderit. Id optio nesciunt quam.
94,49,2023-04-28,2,2,Wartościowy materiał,Nieprzydatny materiał,tak,Quod quas ratione consequuntur consequuntur. Cupiditate adipisci perspiciatis dolorem totam porro recusandae dicta.
26,66,2023-02-23,1,5,Praktyczne przykłady,Słaba organizacja,nie wiem,"Facere alias aliquid velit. Ipsum doloribus excepturi corporis libero reprehenderit blanditiis.
Id ullam consequatur quidem quibusdam recusandae molestiae."
12,34,2022-11-02,2,2,Inspirujący,Mało praktycznych przykładów,tak,Sapiente quam quis harum aperiam. Assumenda rerum esse. In natus aliquam excepturi veniam. Neque facere commodi sed porro excepturi.
43,39,2022-11-24,2,5,Wartościowy materiał,Mało praktycznych przykładów,tak,"Soluta at vero culpa quod placeat.
Veniam sed deleniti doloribus voluptatem explicabo corrupti accusantium. Adipisci eum quidem sapiente quo. Odit omnis in corporis qui impedit."
82,69,2024-08-13,1,1,Inspirujący,Mało praktycznych przykładów,nie,Quasi quod tenetur officiis aspernatur. Accusamus inventore sint dolorem fuga reprehenderit assumenda illum. Impedit aut corporis sapiente amet.
44,14,2024-06-24,4,5,Bardzo pomocny,Niejasne wyjaśnienia,tak,Eveniet unde alias numquam voluptate nobis. Suscipit esse dolorem eveniet alias. Eligendi inventore eveniet odit maiores maxime.
65,45,2022-12-03,5,3,Inspirujący,Zbyt ogólny,nie wiem,"Esse reiciendis nam. Rem error beatae atque fuga amet fuga.
Dicta error fugiat inventore. In eveniet provident sint est dolor ducimus. Eum illo est vel animi."
34,24,2023-07-17,3,4,Wartościowy materiał,Zbyt długi,tak,"Earum quasi voluptatibus doloremque id. Maiores corrupti amet repellendus.
Laborum tempora beatae in ea maxime consectetur."
94,57,2023-04-10,2,2,,Brak interakcji,tak,"Illo nobis in dignissimos totam dicta nesciunt. Voluptate aperiam iure suscipit tempore.
Eius praesentium natus laudantium officia. Reprehenderit praesentium vel maxime porro rem provident."
