1,85,2021-11-27,15:37:22,17:43:29,47,21
2,44,2021-12-22,17:28:28,14:39:26,17,32
3,41,2024-09-29,08:16:50,17:32:05,60,24
4,20,2022-06-08,15:14:48,18:45:17,11,10
5,56,2023-11-08,02:09:30,04:37:47,70,2
6,65,2023-12-24,23:34:43,00:36:45,42,73
7,87,2024-10-27,12:16:59,23:27:16,37,96
8,79,2024-05-20,10:29:09,10:10:17,49,6
9,97,2023-03-27,22:23:41,12:27:32,41,37
10,1,2022-12-09,23:48:03,23:29:53,61,40
11,22,2021-12-18,06:26:48,21:55:20,42,45
12,47,2023-06-08,10:48:48,20:26:13,62,25
13,4,2024-09-05,11:12:04,10:26:24,48,16
14,40,2022-03-03,22:12:13,18:41:32,88,3
15,55,2024-01-21,06:30:17,23:04:24,56,37
16,47,2024-02-13,06:21:01,10:35:01,66,19
17,44,2023-09-16,21:41:53,01:16:47,24,11
18,49,2022-09-27,05:51:08,18:17:26,69,88
19,33,2022-01-23,00:02:39,14:20:03,8,32
20,46,2024-10-01,05:23:50,23:23:07,1,14
21,81,2024-06-26,06:38:29,03:54:26,96,91
22,68,2023-02-24,04:24:38,06:04:01,34,19
23,88,2023-07-13,17:37:25,18:31:01,71,61
24,37,2023-12-06,05:42:24,06:27:22,10,52
25,70,2022-09-16,21:59:48,21:42:00,84,88
26,65,2023-11-28,01:56:18,23:08:34,3,21
27,89,2022-03-25,08:00:57,19:43:59,11,50
28,100,2023-06-01,00:22:10,22:59:58,3,30
29,42,2023-05-15,11:58:38,14:34:37,32,26
30,63,2023-02-05,09:20:16,05:05:45,88,100
31,71,2022-07-23,13:52:03,06:57:53,94,66
32,32,2021-11-06,06:32:35,23:06:08,25,98
33,28,2022-09-05,06:15:21,13:56:12,11,4
34,47,2023-07-18,19:00:25,23:40:04,61,76
35,64,2024-04-30,12:52:21,15:02:08,71,19
36,31,2023-01-17,19:40:34,06:08:46,23,24
37,87,2022-02-23,17:08:05,01:08:34,18,98
38,26,2023-02-15,07:30:59,20:24:26,33,52
39,42,2024-06-29,05:16:44,01:00:21,72,28
40,76,2022-09-18,10:07:31,12:03:31,92,23
41,94,2023-04-30,10:55:57,14:57:16,18,67
42,74,2022-11-14,09:13:25,21:01:20,80,19
43,37,2023-08-07,00:41:48,22:28:03,94,49
44,84,2023-10-19,17:39:04,13:48:16,66,1
45,37,2022-05-23,19:40:55,07:45:38,88,96
46,7,2021-12-20,02:25:09,21:03:50,30,26
47,90,2023-10-15,20:50:10,10:08:58,52,82
48,36,2023-05-09,02:48:00,09:32:06,90,63
49,91,2023-07-13,01:05:33,01:16:17,50,41
50,34,2023-11-28,11:42:05,16:22:35,17,79
51,19,2024-08-03,00:12:11,09:33:05,12,48
52,13,2024-06-03,03:02:18,19:33:28,66,6
53,86,2024-03-11,06:53:16,23:37:28,15,72
54,74,2022-04-17,15:45:40,13:56:42,73,56
55,79,2024-07-07,05:09:01,19:03:25,72,38
56,18,2022-12-03,04:48:34,21:58:55,68,51
