1,14,11
2,5,13
3,6,10
4,6,26
5,5,19
6,6,11
7,13,10
8,1,20
9,3,12
10,19,20
11,10,1
12,2,2
13,3,28
14,8,28
15,15,17
16,16,9
17,6,23
18,12,10
19,11,17
20,18,28
21,16,4
22,4,6
23,15,22
24,13,19
25,4,6
26,20,7
27,2,8
28,6,10
29,14,2
30,2,19
31,20,27
32,20,30
33,17,9
34,19,6
35,13,5
36,18,22
37,6,6
38,15,4
39,6,11
40,19,12
41,8,14
42,10,1
43,14,16
44,2,21
45,11,11
46,10,22
47,7,1
48,16,6
49,14,27
50,1,16
51,15,21
52,1,14
53,11,14
54,10,12
55,6,1
56,2,5
57,6,18
58,17,25
59,20,13
60,1,5
61,2,30
62,11,12
63,8,13
64,2,10
65,3,18
66,11,10
67,4,1
68,14,20
69,8,16
70,7,11
71,6,23
72,9,21
73,14,13
74,4,8
75,3,28
76,11,27
77,14,29
78,3,18
79,19,16
80,11,24
81,10,20
82,10,27
83,1,24
84,14,18
85,17,28
86,4,19
87,14,7
88,12,28
89,13,13
90,18,4
91,17,17
92,18,23
93,6,20
94,4,2
95,9,9
96,13,8
97,15,14
98,16,27
99,14,13
100,5,20
101,7,14
102,7,12
103,18,14
104,7,28
105,12,23
106,7,22
107,12,23
108,19,17
109,10,7
110,9,16
111,19,1
112,20,14
113,20,6
114,2,14
115,8,10
116,19,23
117,3,22
118,18,6
119,10,11
120,14,11
121,15,23
122,1,29
123,14,6
124,17,13
125,10,10
126,19,4
127,17,3
128,2,9
129,1,7
130,7,17
131,17,19
132,2,12
133,18,3
134,19,29
135,18,23
136,1,4
137,3,6
138,18,11
139,8,30
140,18,5
141,8,16
142,20,24
143,6,14
144,3,30
145,11,7
146,4,5
147,15,21
148,2,22
149,7,6
150,18,30
151,3,18
152,16,23
153,5,13
154,16,2
155,5,6
156,12,5
157,11,24
158,11,9
159,19,9
160,19,13
161,14,30
162,2,9
163,6,22
164,2,21
165,12,14
166,17,27
167,17,6
168,3,3
169,7,6
170,14,30
171,7,24
172,6,4
173,12,25
174,5,13
175,4,23
176,15,18
177,8,1
178,20,5
179,13,18
180,13,6
181,7,25
182,13,4
183,17,17
184,12,21
185,6,3
186,15,7
187,3,16
188,7,9
189,7,16
190,12,9
191,11,25
192,8,3
193,14,26
194,6,1
195,15,24
196,18,20
197,6,6
198,6,9
199,1,22
200,5,28
201,10,14
202,15,23
203,10,28
204,8,17
205,8,3
206,9,26
207,2,21
208,11,6
209,14,19
210,6,1
211,17,3
212,19,4
213,7,26
214,15,25
215,12,7
216,13,30
217,7,22
218,11,17
219,15,24
